"ID","Question 1 (KH)","Question 2 (KH)","Answer (KH)","Correct (KH)","Level","Question 1 (EN)","Question 2 (EN)","Answer (EN)","Correct (EN)"
110,"និមិត្តសញ្ញាដែល​​ធ្វើឱ្យសេចក្តីថ្លែងការណ៍នេះជាការពិត?","43  ___  43","<, >, =","=",4,"Which symbol makes this statement true?","43  ___  43","<, >, =","="
111,"និមិត្តសញ្ញាដែល​​ធ្វើឱ្យសេចក្តីថ្លែងការណ៍នេះជាការពិត?","283  ___  283","<, >, =","=",4,"Which symbol makes this statement true?","283  ___  283","<, >, =","="
112,"និមិត្តសញ្ញាដែល​​ធ្វើឱ្យសេចក្តីថ្លែងការណ៍នេះជាការពិត?","302  ___  302","<, >, =","=",4,"Which symbol makes this statement true?","302  ___  302","<, >, =","="
113,"និមិត្តសញ្ញាដែល​​ធ្វើឱ្យសេចក្តីថ្លែងការណ៍នេះជាការពិត?","5  ___  5","<, >, =","=",4,"Which symbol makes this statement true?","5  ___  5","<, >, =","="
114,"និមិត្តសញ្ញាដែល​​ធ្វើឱ្យសេចក្តីថ្លែងការណ៍នេះជាការពិត?","293  ___  290","<, >, =",">",4,"Which symbol makes this statement true?","293  ___  290","<, >, =",">"
115,"និមិត្តសញ្ញាដែល​​ធ្វើឱ្យសេចក្តីថ្លែងការណ៍នេះជាការពិត?","123  ___  122","<, >, =",">",4,"Which symbol makes this statement true?","123  ___  122","<, >, =",">"
116,"និមិត្តសញ្ញាដែល​​ធ្វើឱ្យសេចក្តីថ្លែងការណ៍នេះជាការពិត?","324  ___  323","<, >, =",">",4,"Which symbol makes this statement true?","324  ___  323","<, >, =",">"
117,"និមិត្តសញ្ញាដែល​​ធ្វើឱ្យសេចក្តីថ្លែងការណ៍នេះជាការពិត?","38  ___  36","<, >, =",">",4,"Which symbol makes this statement true?","38  ___  36","<, >, =",">"
118,"និមិត្តសញ្ញាដែល​​ធ្វើឱ្យសេចក្តីថ្លែងការណ៍នេះជាការពិត?","374  ___  37","<, >, =",">",4,"Which symbol makes this statement true?","374  ___  37","<, >, =",">"
119,"និមិត្តសញ្ញាដែល​​ធ្វើឱ្យសេចក្តីថ្លែងការណ៍នេះជាការពិត?","221  ___  393","<, >, =","<",4,"Which symbol makes this statement true?","221  ___  393","<, >, =","<"
120,"និមិត្តសញ្ញាដែល​​ធ្វើឱ្យសេចក្តីថ្លែងការណ៍នេះជាការពិត?","485  ___  23","<, >, =",">",4,"Which symbol makes this statement true?","485  ___  23","<, >, =",">"
121,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","48,  50,  52,  54,  __","54, 56, 57, 58",56,5,"What is the missing number?","48,  50,  52,  54,  __","54, 56, 57, 58",56
122,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","45,  50,   __,  60,   65","63, 55, 54, 50",55,5,"What is the missing number?","45,  50,   __,  60,   65","63, 55, 54, 50",55
123,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","67,  70,  73,  __,  79","75, 76, 77, 80",76,5,"What is the missing number?","67,  70,  73,  __,  79","75, 76, 77, 80",76
124,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","68,  72,  76,  __","77, 80, 81, 78",80,5,"What is the missing number?","68,  72,  76,  __","77, 80, 81, 78",80
125,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","__,  96,  100,  104","95, 94, 92, 88",92,5,"What is the missing number?","__,  96,  100,  104","95, 94, 92, 88",92
126,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","75,  80,  85,  __,  95","92, 90, 80, 75",90,5,"What is the missing number?","75,  80,  85,  __,  95","92, 90, 80, 75",90
127,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","420,  __,  424,  426,  428","421, 422, 442, 430",422,5,"What is the missing number?","420,  __,  424,  426,  428","421, 422, 442, 430",422
128,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","33,  36,  __,  42,  45","35, 39, 40, 37",39,5,"What is the missing number?","33,  36,  __,  42,  45","35, 39, 40, 37",39
129,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","3,  7,  11,  15,  __","20, 17, 19, 16",19,5,"What is the missing number?","3,  7,  11,  15,  __","20, 17, 19, 16",19
130,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","__,  64,  66,  68","60, 61, 62, 66",62,5,"What is the missing number?","__,  64,  66,  68","60, 61, 62, 66",62
131,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","130,  140,  __,  160","145, 155, 160, 150",150,5,"What is the missing number?","130,  140,  __,  160","145, 155, 160, 150",150
132,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","573,  576,  579,  __","580, 579, 581, 582",582,5,"What is the missing number?","573,  576,  579,  __","580, 579, 581, 582",582
133,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","840,  __,  850,  855,  860","840, 855, 845, 848",845,5,"What is the missing number?","840,  __,  850,  855,  860","840, 855, 845, 848",845
134,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","210,  __,  230,  240","220, 225, 230, 215",220,5,"What is the missing number?","210,  __,  230,  240","220, 225, 230, 215",220
135,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","74,  78,  __,  86","88, 82, 80, 86",82,5,"What is the missing number?","74,  78,  __,  86","88, 82, 80, 86",82
136,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","129,  131,  __,  135,  137","130, 133, 134, 136",133,5,"What is the missing number?","129,  131,  __,  135,  137","130, 133, 134, 136",133
137,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","__, 36,  39,  42,  45","30, 31, 33, 34",33,5,"What is the missing number?","__, 36,  39,  42,  45","30, 31, 33, 34",33
138,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","85,  95,  105,  __,  125","110, 120, 125, 115",115,5,"What is the missing number?","85,  95,  105,  __,  125","110, 120, 125, 115",115
139,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","83,  85,  __,  89,  91","85, 87, 90, 88",87,5,"What is the missing number?","83,  85,  __,  89,  91","85, 87, 90, 88",87
140,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","__, 804,  808,  812","790, 800, 802, 804",800,5,"What is the missing number?","__, 804,  808,  812","790, 800, 802, 804",800
141,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","555,  ___,  565,  570","600, 550, 560, 565",560,5,"What is the missing number?","555,  ___,  565,  570","600, 550, 560, 565",560
142,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","23,  __,  29,  32,  35","22, 24, 26, 28",26,5,"What is the missing number?","23,  __,  29,  32,  35","22, 24, 26, 28",26
143,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","270,  280,  290,  ___","295, 280, 300, 305",300,5,"What is the missing number?","270,  280,  290,  ___","295, 280, 300, 305",300
144,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","833,  ___,  839,  842,  845","833, 835, 837, 836",836,5,"What is the missing number?","833,  ___,  839,  842,  845","833, 835, 837, 836",836
145,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","20,  30,  40,  __","40, 50, 60, 55",50,5,"What is the missing number?","20,  30,  40,  __","40, 50, 60, 55",50
146,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","__,  4,  8,  12,  16","2, 6, 0, 4",0,5,"What is the missing number?","__,  4,  8,  12,  16","2, 6, 0, 4",0
147,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","50,  60,  70,  80,  __","85, 88, 90, 100",90,5,"What is the missing number?","50,  60,  70,  80,  __","85, 88, 90, 100",90
148,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","__, 68,  70,  72,  74","65, 66, 68, 64",66,5,"What is the missing number?","__, 68,  70,  72,  74","65, 66, 68, 64",66
149,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","12,  14,  16,  18,  20,  22,  __","23, 24, 25, 26",24,5,"What is the missing number?","12,  14,  16,  18,  20,  22,  __","23, 24, 25, 26",24
150,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","15,  18,  21,  __,  27,  30","25, 23, 26, 24",24,5,"What is the missing number?","15,  18,  21,  __,  27,  30","25, 23, 26, 24",24
151,"និមិត្តសញ្ញាទីបួនគឺជាអ្វី? រាប់ពីខាងឆ្វេង។","**@@##**@@","*, @, #, $","@",6,"What is the fourth symbol? Count from the left.","**@@##**@@","*, @, #, $","@"
152,"និមិត្តសញ្ញាទីប្រាំគឺជាអ្វី? រាប់ពីខាងឆ្វេង។","###$$$***ooo","o, *, $, #","$",6,"What is the fifth symbol? Count from the left.","###$$$***ooo","o, *, $, #","$"
153,"និមិត្តសញ្ញាទីប្រាំពីរគឺជាអ្វី? រាប់ពីខាងឆ្វេង។","**@@##**@@","*, @, #, $","*",6,"What is the seventh symbol? Count from the left.","**@@##**@@","*, @, #, $","*"
154,"និមិត្តសញ្ញាទីបីគឺជាអ្វី? រាប់ពីខាងឆ្វេង។","$$##&&$$##&&","#, &, $, *","#",6,"What is the third symbol? Count from the left.","$$##&&$$##&&","#, &, $, *","#"
155,"និមិត្តសញ្ញាទីប្រាំមួយគឺជាអ្វី? រាប់ពីខាងឆ្វេង។","###$$$***ooo","*, @, #, $","$",6,"What is the sixth symbol? Count from the left.","###$$$***ooo","*, @, #, $","$"
156,"និមិត្តសញ្ញាប្រាំបីគឺជាអ្វី? រាប់ពីខាងឆ្វេង។","ooo&&&###@@@","*, @, #, $","#",6,"What is the eighth symbol? Count from the left.","ooo&&&###@@@","*, @, #, $","#"
157,"និមិត្តសញ្ញាប្រាំបួនគឺជាអ្វី? រាប់ពីខាងស្ដាំ។","***@@##***@@","*, @, #, $","@",6,"What is the ninth symbol? Count from the right.","***@@##***@@","*, @, #, $","@"
158,"និមិត្តសញ្ញាទីបីគឺជាអ្វី? រាប់ពីខាងស្ដាំ។","###$$$***ooo","o, *, $, #","o",6,"What is the third symbol? Count from the right.","###$$$***ooo","o, *, $, #","o"
159,"និមិត្តសញ្ញាទីប្រាំពីរគឺជាអ្វី? រាប់ពីខាងស្ដាំ។","**@@##**@@","*, @, #, $","@",6,"What is the seventh symbol? Count from the right.","**@@##**@@","*, @, #, $","@"
160,"និមិត្តសញ្ញាឆ្ពោះគឺជាអ្វី? រាប់ពីខាងស្ដាំ។","$$##&&$$##&&","#, &, $, *","#",6,"What is the forth symbol? Count from the right.","$$##&&$$##&&","#, &, $, *","#"
161,"និមិត្តសញ្ញាទីប្រាំមួយគឺជាអ្វី? រាប់ពីខាងស្ដាំ។","###$$$***ooo","*, @, #, $","*",6,"What is the sixth symbol? Count from the right.","###$$$***ooo","*, @, #, $","*"
162,"និមិត្តសញ្ញាប្រាំបីគឺជាអ្វី? រាប់ពីខាងស្ដាំ។","ooo&&&###@@@","*, @, #, $","&",6,"What is the eighth symbol? Count from the right.","ooo&&&###@@@","*, @, #, $","&"
163,"និមិត្តសញ្ញាទីបួនគឺជាអ្វី? រាប់ពីខាងឆ្វេង។","ooo&&&###@@@","#, &, $, *","&",6,"What is the fourth symbol? Count from the left.","ooo&&&###@@@","#, &, $, *","&"
164,"និមិត្តសញ្ញាទីប្រាំគឺជាអ្វី? រាប់ពីខាងឆ្វេង។","###$$$***ooo","#, &, $, *","$",6,"What is the fifth symbol? Count from the left.","###$$$***ooo","#, &, $, *","$"
165,"និមិត្តសញ្ញាទីប្រាំពីរគឺជាអ្វី? រាប់ពីខាងឆ្វេង។","$$##&&$$##&&","*, @, #, $","$",6,"What is the seventh symbol? Count from the left.","$$##&&$$##&&","*, @, #, $","$"
166,"និមិត្តសញ្ញាទីបីគឺជាអ្វី? រាប់ពីខាងឆ្វេង។","**@@##**@@","*, @, #, $","@",6,"What is the third symbol? Count from the left.","**@@##**@@","*, @, #, $","@"
167,"និមិត្តសញ្ញាភាគដប់គឺជាអ្វី? រាប់ពីខាងឆ្វេង។","###$$$***ooo","o, *, $, #","o",6,"What is the tenth symbol? Count from the left.","###$$$***ooo","o, *, $, #","o"
168,"និមិត្តសញ្ញាប្រាំបីគឺជាអ្វី? រាប់ពីខាងស្ដាំ។","ooo&&&###@@@","o, *, $, #","#",6,"What is the eighth symbol? Count from the right.","ooo&&&###@@@","o, *, $, #","#"
169,"រាប់ពីខាងឆ្វេងលិខិតនៅ 15 គឺជាអ្វី?","Twinkle, twinkle, little star,
How I wonder what you are.
Up above the world so high,
Like a diamond in the sky. ","l, i, e, t","l",6,"Counting from the left, what is the letter at 15?","Twinkle, twinkle, little star,
How I wonder what you are.
Up above the world so high,
Like a diamond in the sky. ","l, i, e, t","l"
170,"រាប់ពីខាងឆ្វេងលិខិតនៅ 11 គឺជាអ្វី?","Twinkle, twinkle, little star,
How I wonder what you are.
Up above the world so high,
Like a diamond in the sky. ","o, n, k, i","n",6,"Counting from the left, what is the letter at 11?","Twinkle, twinkle, little star,
How I wonder what you are.
Up above the world so high,
Like a diamond in the sky. ","o, n, k, i","n"
171,"រាប់ពីខាងឆ្វេងលិខិតនៅ 21 គឺជាអ្វី?","Twinkle, twinkle, little star,
How I wonder what you are.
Up above the world so high,
Like a diamond in the sky. ","a, r, e, s","s",6,"Counting from the left, what is the letter at 21?","Twinkle, twinkle, little star,
How I wonder what you are.
Up above the world so high,
Like a diamond in the sky. ","a, r, e, s","s"
172,"រាប់ពីខាងឆ្វេងលិខិតនៅថ្ងៃទី 26 គឺជាអ្វី?","Twinkle, twinkle, little star,
How I wonder what you are.
Up above the world so high,
Like a diamond in the sky. ","k, h, o, w","o",6,"Counting from the left, what is the letter at 26?","Twinkle, twinkle, little star,
How I wonder what you are.
Up above the world so high,
Like a diamond in the sky. ","k, h, o, w","o"
173,"រាប់ពីខាងឆ្វេងលិខិតនៅម៉ោង 7 គឺជាអ្វី?","Twinkle, twinkle, little star,
How I wonder what you are.
Up above the world so high,
Like a diamond in the sky. ","l, t, e, k","e",6,"Counting from the left, what is the letter at 7?","Twinkle, twinkle, little star,
How I wonder what you are.
Up above the world so high,
Like a diamond in the sky. ","l, t, e, k","e"
174,"រាប់ពីខាងឆ្វេងលិខិតនៅ 11 គឺជាអ្វី?","When the blazing sun is gone,
When the nothing shines upon,
Then you show your little light,
Twinkle, twinkle, all the night.","a, l, I, z","z",6,"Counting from the left, what is the letter at 11?","When the blazing sun is gone,
When the nothing shines upon,
Then you show your little light,
Twinkle, twinkle, all the night.","a, l, I, z","z"
175,"រាប់ពីខាងឆ្វេងលិខិតនៅ 15 គឺជាអ្វី?","When the blazing sun is gone,
When the nothing shines upon,
Then you show your little light,
Twinkle, twinkle, all the night.","u, n, g, s","s",6,"Counting from the left, what is the letter at 15?","When the blazing sun is gone,
When the nothing shines upon,
Then you show your little light,
Twinkle, twinkle, all the night.","u, n, g, s","s"
176,"រាប់ពីខាងឆ្វេងលិខិតនៅអាយុ 18 ឆ្នាំគឺជាអ្វី?","When the blazing sun is gone,
When the nothing shines upon,
Then you show your little light,
Twinkle, twinkle, all the night.","s, i, n, u","i",6,"Counting from the left, what is the letter at 18?","When the blazing sun is gone,
When the nothing shines upon,
Then you show your little light,
Twinkle, twinkle, all the night.","s, i, n, u","i"
177,"រាប់ពីខាងឆ្វេងលិខិតនៅ 21 គឺជាអ្វី?","When the blazing sun is gone,
When the nothing shines upon,
Then you show your little light,
Twinkle, twinkle, all the night.","g, n, s, o","o",6,"Counting from the left, what is the letter at 21?","When the blazing sun is gone,
When the nothing shines upon,
Then you show your little light,
Twinkle, twinkle, all the night.","g, n, s, o","o"
178,"រាប់ពីខាងឆ្វេងលិខិតនៅថ្ងៃទី 27 គឺជាអ្វី?","When the blazing sun is gone,
When the nothing shines upon,
Then you show your little light,
Twinkle, twinkle, all the night.","n, w, e, s","n",6,"Counting from the left, what is the letter at 27?","When the blazing sun is gone,
When the nothing shines upon,
Then you show your little light,
Twinkle, twinkle, all the night.","n, w, e, s","n"
179,"រាប់ពីខាងឆ្វេងលិខិតនៅ 6 គឺជាអ្វី?","When the blazing sun is gone,
When the nothing shines upon,
Then you show your little light,
Twinkle, twinkle, all the night.","b, t, e, h","h",6,"Counting from the left, what is the letter at 6?","When the blazing sun is gone,
When the nothing shines upon,
Then you show your little light,
Twinkle, twinkle, all the night.","b, t, e, h","h"
180,"រាប់ពីខាងឆ្វេងគឺជាលិខិតនៅវេលាម៉ោង 9 អ្វី?","When the blazing sun is gone,
When the nothing shines upon,
Then you show your little light,
Twinkle, twinkle, all the night.","z, b, l, a","l",6,"Counting from the left, what is the letter at 9?","When the blazing sun is gone,
When the nothing shines upon,
Then you show your little light,
Twinkle, twinkle, all the night.","z, b, l, a","l"
