"ID","Question 1 (KH)","Question 2 (KH)","Answer (KH)","Correct (KH)","Level","Question 1 (EN)","Question 2 (EN)","Answer (EN)","Correct (EN)"
58,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","43, __, 47, 49, 51","44, 45, 46, 48",45,2,"What is the missing number?","43, __, 47, 49, 51","44, 45, 46, 48",45
59,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","__, 13, 15, 17, 19","10, 12, 11, 9",11,2,"What is the missing number?","__, 13, 15, 17, 19","10, 12, 11, 9",11
60,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","__, 32, 34, 36, 38","28, 30, 31, 32",30,2,"What is the missing number?","__, 32, 34, 36, 38","28, 30, 31, 32",30
61,"ចំនួនលេខដែលបាត់គឺជាអ្វី?","__, 108, 110, 112, 114","104, 106, 107, 110",106,3,"What is the missing number?","__, 108, 110, 112, 114","104, 106, 107, 110",106
62,"គឺ 24 សេសឬសូម្បីតែ?",,"សេស, ទោះបីជា","ទោះបីជា",3,"Is 24 odd or even?",,"odd, even","even"
63,"គឺ 4 សេសឬសូម្បីតែ?",,"សេស, ទោះបីជា","ទោះបីជា",3,"Is 4 odd or even?",,"odd, even","even"
64,"គឺ 18 សេសឬសូម្បីតែ?",,"សេស, ទោះបីជា","ទោះបីជា",3,"Is 18 odd or even?",,"odd, even","even"
65,"គឺ 10 សេសឬសូម្បីតែ?",,"សេស, ទោះបីជា","ទោះបីជា",3,"Is 10 odd or even?",,"odd, even","even"
66,"គឺ 36 សេសឬសូម្បីតែ?",,"សេស, ទោះបីជា","ទោះបីជា",3,"Is 36 odd or even?",,"odd, even","even"
67,"គឺ 23 សេសឬសូម្បីតែ?",,"សេស, ទោះបីជា","សេស",3,"Is 23 odd or even?",,"odd, even","odd"
68,"គឺ 9 សេសឬសូម្បីតែ?",,"សេស, ទោះបីជា","សេស",3,"Is 9 odd or even?",,"odd, even","odd"
69,"គឺ 11 សេសឬសូម្បីតែ?",,"សេស, ទោះបីជា","សេស",3,"Is 11 odd or even?",,"odd, even","odd"
70,"គឺ 19 សេសឬសូម្បីតែ?",,"សេស, ទោះបីជា","សេស",3,"Is 19 odd or even?",,"odd, even","odd"
71,"គឺ 63 សេសឬសូម្បីតែ?",,"សេស, ទោះបីជា","សេស",3,"Is 63 odd or even?",,"odd, even","odd"
72,"គឺសូម្បីតែ 36 ឬសេស?",,"ទោះបីជា, សេស","ទោះបីជា",3,"Is 36 even or odd?",,"even, odd","even"
73,"គឺសូម្បីតែ 28 ឬសេស?",,"ទោះបីជា, សេស","ទោះបីជា",3,"Is 28 even or odd?",,"even, odd","even"
74,"សូម្បីតែ 7 ឬសេសគឺ?",,"ទោះបីជា, សេស","សេស",3,"Is 7 even or odd?",,"even, odd","odd"
75,"គឺសូម្បីតែ 1 ឬសេស?",,"ទោះបីជា, សេស","សេស",3,"Is 1 even or odd?",,"even, odd","odd"
76,"39 គឺសូម្បីតែឬសេស?",,"ទោះបីជា, សេស","សេស",3,"Is 39 even or odd?",,"even, odd","odd"
77,"66 គឺជាអ្វីដែលមានរាងមូលទៅជិតបំផុត 10?",,"60, 65, 70, 75",70,3,"What is 66 rounded to the nearest 10?",,"60, 65, 70, 75",70
78,"30 គឺជាអ្វីដែលមានរាងមូលទៅជិតបំផុត 10?",,"30, 20, 10, 40",30,3,"What is 30 rounded to the nearest 10?",,"30, 20, 10, 40",30
79,"8 គឺជាអ្វីដែលមានរាងមូលទៅជិតបំផុត 10?",,"0, 10, 20, 15",10,3,"What is 8 rounded to the nearest 10?",,"0, 10, 20, 15",10
80,"11 គឺជាអ្វីដែលមានរាងមូលទៅជិតបំផុត 10?",,"9, 10, 100, 20",10,3,"What is 11 rounded to the nearest 10?",,"9, 10, 100, 20",10
81,"45 គឺជាអ្វីដែលមានរាងមូលទៅជិតបំផុត 10?",,"50, 55, 40, 100",50,3,"What is 45 rounded to the nearest 10?",,"50, 55, 40, 100",50
82,"5 គឺជាអ្វីដែលមានរាងមូលទៅជិតបំផុត 10?",,"0, 10, 5, 6",10,3,"What is 5 rounded to the nearest 10?",,"0, 10, 5, 6",10
83,"108 គឺជាអ្វីដែលមានរាងមូលទៅជិតបំផុត 10?",,"100, 105, 110, 10",110,3,"What is 108 rounded to the nearest 10?",,"100, 105, 110, 10",110
84,"74 គឺជាអ្វីដែលមានរាងមូលទៅជិតបំផុត 10?",,"50, 60, 70, 80",70,3,"What is 74 rounded to the nearest 10?",,"50, 60, 70, 80",70
85,"58 គឺជាអ្វីដែលមានរាងមូលទៅជិតបំផុត 10?",,"40, 50, 60, 55",60,3,"What is 58 rounded to the nearest 10?",,"40, 50, 60, 55",60
86,"228 គឺជាអ្វីដែលមានរាងមូលទៅជិតបំផុត 10?",,"200, 100, 220, 230",230,3,"What is 228 rounded to the nearest 10?",,"200, 100, 220, 230",230
87,"98 គឺជាអ្វីដែលមានរាងមូលទៅជិតបំផុត 10?",,"80, 90, 100, 110",100,3,"What is 98 rounded to the nearest 10?",,"80, 90, 100, 110",100
88,"17 គឺជាអ្វីដែលមានរាងមូលទៅជិតបំផុត 10?",,"10, 15, 20, 25",20,3,"What is 17 rounded to the nearest 10?",,"10, 15, 20, 25",20
89,"219 គឺជាអ្វីដែលមានរាងមូលទៅជិតបំផុត 10?",,"200, 210, 220, 230",220,3,"What is 219 rounded to the nearest 10?",,"200, 210, 220, 230",220
90,"49 គឺជាអ្វីដែលមានរាងមូលទៅជិតបំផុត 10?",,"40, 45, 50, 60",50,3,"What is 49 rounded to the nearest 10?",,"40, 45, 50, 60",50
